Country,Date Start,Keywords
Ukraine,2020-03-17,"cultural activity limitation, outdoor gatherings banned, religious activity cancellation, social distancing, sports cancellation"
Portugal,2020-03-16,school closure
Ukraine,2020-03-17,remote work
Ukraine,2020-03-17,public transport limited
Portugal,2020-03-13,international travel ban - risk countries
Portugal,2020-03-02,first case
Slovakia,2020-03-14,general nonessential business suspension
Moldova,2020-03-07,"case reporting, first case"
Poland,2020-03-14,international travel ban - all countries
Poland,2020-03-14,limited nonessential business suspension
United States,2020-03-16,outdoor gatherings banned
Slovakia,2020-03-16,"public announcement, public hygiene, public mask encouragement"
United States,2020-03-16,blanket isolation - no symptoms
Portugal,2020-03-16,international travel ban - risk countries
Moldova,2020-03-10,international travel ban - all countries
Malta,2020-03-13,outdoor gatherings banned
Malta,2020-03-07,"case reporting, first case"
Slovakia,2020-03-12,"emergency declaration, state of emergency"
Slovakia,2020-03-13,"international traveller quarantine - risk countries, quarantine zone"
Slovakia,2020-03-13,international travel ban - all countries
Poland,2020-03-15,religious activity limitations
Ukraine,2020-03-12,social distancing
Lithuania,2020-03-16,general nonessential business suspension
Slovakia,2020-03-16,"cultural activity limitation, religious activity cancellation, sports cancellation, visiting in hospital banned"
Poland,2020-03-04,first case
Poland,2020-03-15,outdoor gatherings banned
Slovakia,2020-03-06,"case reporting, first case"
Serbia,2020-03-16,"nursery school closure, school closure, university closure"
Slovakia,2020-03-16,"nursery school closure, school closure, university closure"
Switzerland,2020-03-13,"nursery school closure, school closure, university closure"
Switzerland,2020-02-25,"case reporting, first case"
Switzerland,2020-03-13,outdoor gatherings banned
Switzerland,2020-02-28,outdoor gatherings banned
Norway,2020-03-12,"closure nonessential stores, limited nonessential business suspension"
Norway,2020-03-12,"nursery school closure, school closure, university closure"
Norway,2020-03-16,international travel ban - all countries
Romania,2020-03-08,outdoor gatherings banned
Romania,2020-03-11,indoor gatherings banned
Romania,2020-02-21,international traveller quarantine - risk countries
Romania,2020-03-02,international traveller quarantine - risk countries
Norway,2020-03-12,outdoor gatherings banned
Montenegro,2020-03-17,"case reporting, first case"
Switzerland,2020-03-13,international travel ban - risk countries
Norway,2020-03-13,international travel ban - all countries
Norway,2020-03-10,"case reporting, community spread"
Montenegro,2020-03-17,public transport stopped
Monaco,2020-02-29,"case reporting, first case"
Switzerland,2020-03-16,general nonessential business suspension
Romania,2020-03-09,international travel ban - risk countries
Romania,2020-02-28,religious activity limitations
